sphere 0.4 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
0,1.94305,0,0.00102231,0.00943469
0,1.92954,0,0.000933577,0.00847187
0,1.83896,0,0.000937172,0.0101507
0,1.82498,0,0.00107524,0.00966093
0,1.84949,0,0.00140987,0.00845597
0.848466,1.77983,0,0.00210837,0.0093567
0.974488,2.01837,0,0.00261629,0.0103443
1.02034,1.86437,0,0.00282515,0.0105684
1.09121,1.91721,0.0138125,0.00300493,0.0111816
1.09987,1.94508,0.00107406,0.00306205,0.0120451
1.06281,1.94479,0.000083519,0.00313057,0.0127219
1.04938,1.88434,0.00164721,0.0031247,0.0115989
1.10274,1.85841,0.000213478,0.00307957,0.0110132
1.10815,2.00545,0.0068211,0.0030928,0.012706
1.11738,1.84093,0.00816094,0.00309232,0.0138896
1.13783,1.86428,0.000634595,0.00307919,0.0127938
1.13464,1.90278,0.00766382,0.00313627,0.013561
1.09128,1.85304,0.0119664,0.00315211,0.0126247
1.09554,1.95826,0.00155085,0.0032181,0.0124702
1.10312,1.92571,0.000120594,0.00311356,0.0113608
1.11528,1.92071,9.3774E-06,0.00300631,0.0155315
1.50819,1.85004,7.29186E-07,0.00294751,0.0156609
1.8262,1.96868,0.0980887,0.00343425,0.0167491
1.78322,2.04115,0.153637,0.00355429,0.0177569
1.77647,2.05153,0.205362,0.00355801,0.028078
1.7629,2.08603,0.30583,0.00350514,0.0312092
1.74641,2.05983,0.278137,0.00353753,0.0272717
1.67414,1.94555,0.270933,0.00350434,0.0282484
1.68362,1.89923,0.182351,0.00350353,0.0271253
1.81404,2.02251,0.264047,0.00350948,0.0217325
2.29323,2.04907,0.318691,0.00377741,0.0250854
2.29558,2.12537,0.716785,0.00409647,0.0230536
2.4167,2.15438,0.775588,0.00416834,0.02332
2.4367,2.06549,0.713345,0.00407752,0.0306961
2.41645,2.05568,0.735889,0.00403654,0.0321344
2.43351,2.12724,0.526762,0.00406577,0.0327143
2.41632,2.10998,0.585164,0.0040787,0.0319605
2.48025,2.23783,0.693359,0.00401138,0.0322099
2.58424,2.0728,0.79679,0.00405511,0.0330711
2.55559,2.09119,0.803198,0.00405535,0.0313859
2.55801,2.01338,0.462394,0.00401129,0.0326048
2.57813,1.96878,0.697857,0.00400748,0.0312871
2.54578,2.19121,0.385168,0.00399197,0.033
2.47032,2.03306,0.276867,0.00393509,0.0315822
2.64811,2.23176,0.597712,0.00384273,0.0264069
3.06592,2.08152,0.701378,0.0044177,0.0278111
3.03618,2.13253,0.395441,0.00458328,0.0287904
3.01886,2.20723,0.531976,0.00464105,0.0269239
3.06668,2.18711,1.66505,0.00462688,0.027897
3.09661,1.9589,1.64942,0.00471324,0.0290719
3.07292,2.12144,0.595251,0.00470896,0.0276353
3.05764,1.91,0.945994,0.00471806,0.0290022
3.09292,2.08442,0.370594,0.0046732,0.026862
3.00281,2.14424,0.582355,0.00468828,0.028762
